"","MSA_STATE","CBSA_code","name_2017match","name_2010match","MSA","state","total_pop","urb_pop","urb_land","urb_landsqmi","state_dom","ratio","urb_den","Median","Under18","y18to24","y25to34","y35to44","y45to54","y55to64","y65to74","y75","total","pincom2019","gdp2017","white","black","native","asian","LND010190D","land","total_den"
"37","Bismarck, ND","13900","Bismarck, ND","Bismarck, ND","Bismarck","ND",128949,81955,100381571,38.76,"ND",0.63556134595848,816.434721867423,37.8,0.228941247851148,0.0968937019093759,0.141185339081992,0.120786181156289,0.15040586877982,0.12457367690455,0.0682116952720654,0.0690022890447605,108779,58254,7998,90.8,1.9,3.9,0.8,4344.74,11296.324,11.4151293819122
"38","Blacksburg-Christiansburg, VA","13980","Blacksburg-Christiansburg-Radford, VA","Blacksburg-Christiansburg-Radford, VA","Blacksburg-Christiansburg","VA",167531,88542,132632697,51.21,"VA",0.528511141221625,667.5729439476,31.1,0.170632923820862,0.250905141202028,0.118171553406399,0.113348224695934,0.116256949643466,0.108218068459358,0.0685207231311135,0.05394641564084,162958,39517,7218,87.9,4.8,0.3,4.2,1090.2,2834.52,59.1038341588699
"39","Bloomington, IL","14060","Bloomington, IL","Bloomington-Normal, IL","Bloomington","IL",171517,132600,127410911,49.19,"IL",0.77310120862655,1040.72719486324,32.1,0.226523246762437,0.173247941877197,0.138413181421461,0.123516854197627,0.133323897813318,0.102717429764348,0.0531632580850612,0.0490941900785507,169572,49602,12370,83.3,8.4,0.2,5.1,1186.33,3084.458,55.6068521600878
"40","Bloomington, IN","14020","Bloomington, IN","Bloomington, IN","Bloomington","IN",169230,108657,116026934,44.8,"IN",0.642067009395497,936.480834699984,31,0.183510279481511,0.228379878991666,0.134198864638791,0.108404163682971,0.121978683437633,0.106484220139689,0.0634048382577291,0.0536390713700094,192714,43411,7425,87.4,2.7,0.2,5.9,799.19,2077.894,81.443037999051
"41","Boise City, ID","14260","Boise City, ID","Boise City-Nampa, ID","Boise City","ID",749202,349684,346614209,133.83,"ID",0.466741946764691,1008.85650651442,34.1,0.279248930762731,0.0907160848642713,0.141609670413795,0.136585025650341,0.13438572987912,0.108331535728014,0.0613775441521601,0.0477454785495677,616561,47881,33604,88,1,0.7,1.9,11833.59,30767.334,24.3505660906467
"42","Boston-Cambridge-Newton, MA-NH","14460","Boston-Cambridge-Newton, MA-NH","Boston-Cambridge-Quincy, MA-NH","Boston-Cambridge-Newton","MA-NH",4873019,4181019,4852227548,1873.46,"MA--NH--RI",0.857993576466663,861.670018283322,38.5,0.21598883402652,0.103857260408901,0.136136263888822,0.138096328048358,0.155007180824541,0.119984790446889,0.0672543857067104,0.063674956649259,4552402,81498,438684,76,8.3,0.2,7.9,4511.83,11730.758,415.405296060152
"43","Boulder, CO","14500","Boulder, CO","Boulder, CO","Boulder","CO",326196,114591,84139802,32.49,"CO",0.351294926976419,1361.91192843549,35.8,0.213038120359714,0.142005044692718,0.133684357039315,0.139150006619886,0.151432441515852,0.120471743270631,0.0567986230636833,0.0434196634381991,294567,76527,25274,89,0.9,0.4,4.7,751.4,1953.64,166.968325791855
"44","Bowling Green, KY","14540","Bowling Green, KY","Bowling Green, KY","Bowling Green","KY",179240,78306,117592884,45.4,"KY",0.436877929033698,665.907641146041,33.5,0.226822703706938,0.154835533889625,0.136932030201742,0.123720752979286,0.133343389994681,0.109517042071249,0.0652306812858765,0.0495978658706025,125953,37114,7267,85.5,6.8,0.3,3.1,1639.35,4262.31,42.0523143553613
"45","Bremerton-Silverdale-Port Orchard, WA","14740","Bremerton-Silverdale, WA","Bremerton-Silverdale, WA","Bremerton-Silverdale-Port Orchard","WA",271473,198979,353498946,136.49,"WA",0.732960552246448,562.884280848747,39.4,0.224964461062465,0.101205337410854,0.124531622685987,0.121541175393118,0.154428131707103,0.140746138500317,0.0762623788988305,0.0563207543413251,251133,58874,11474,80.9,2.7,1,4.8,565.98,1471.548,184.48124016342
"46","Bridgeport-Stamford-Norwalk, CT","14860","Bridgeport-Stamford-Norwalk, CT","Bridgeport-Stamford-Norwalk, CT","Bridgeport-Stamford-Norwalk","CT",943332,923311,1207483169,466.21,"CT--NY",0.97877629509017,764.657449233564,39.5,0.247613240855165,0.0786417096317852,0.115684604217362,0.143152103609288,0.162828619077276,0.116749142969954,0.0679963221058671,0.0673342575333023,916829,121397,98256,73,11.6,0.2,5.3,837.01,2176.226,433.47152363771
"47","Brownsville-Harlingen, TX","15180","Brownsville-Harlingen, TX","Brownsville-Harlingen, TX","Brownsville-Harlingen","TX",423163,353248,425477366,164.28,"TX",0.834779978400758,830.23922828365,30.6,0.330360395844616,0.0984244990399291,0.127625424646743,0.127482644872237,0.113093890010339,0.0925040618384127,0.0606690955639801,0.0498399881837428,406220,29928,10197,94.3,0.6,0.2,0.7,1276.42,3318.692,127.508970401592
"48","Brunswick, GA","15260","Brunswick, GA","Brunswick, GA","Brunswick","GA",118779,51024,112357237,43.38,"GA",0.429570883742076,454.122950709441,39.8,0.242075286998309,0.0840526831004717,0.115386669039779,0.126973391474593,0.148260211800303,0.134510990477886,0.0881996974281392,0.0605410696805197,112370,42885,4045,71.8,23.8,0.3,1.3,1605.27,4173.702,28.4589077035208
"49","Buffalo-Cheektowaga, NY","15380","Buffalo-Cheektowaga-Niagara Falls, NY","Buffalo-Niagara Falls, NY","Buffalo-Cheektowaga","NY",1127983,935906,984015238,379.93,"NY",0.829716405300434,951.109255078426,40.6,0.216144477938968,0.103224192850959,0.116062488276183,0.122636632558615,0.156307876027403,0.128204179799544,0.0765454082706522,0.0808747442776764,1135509,52331,60014,79.6,12.3,0.6,3.1,2366.86,6153.836,183.297539940941
"50","Burlington-South Burlington, VT","15540","Burlington-South Burlington, VT","Burlington-South Burlington, VT","Burlington-South Burlington","VT",220411,108740,159947183,61.76,"VT",0.493351057796571,679.84942254344,37.5,0.210815058150818,0.132603746077127,0.127799262523608,0.131022763311733,0.159073373694151,0.12284804104875,0.0628322312210962,0.0530055239727162,211261,58662,14140,91.3,2.2,0.4,3.1,1506.94,3918.044,56.2553661980315
"51","Burlington, NC","15500","Burlington, NC","Burlington, NC","Burlington","NC",169509,119911,234209025,90.43,"NC",0.707401966857217,511.98283242928,38.7,0.234518397946153,0.105603747742025,0.113570346255897,0.136808464180082,0.144847847231872,0.11854616193898,0.0756165181200416,0.0704885165849495,151131,41193,5441,69.8,19.5,0.4,1.6,434.8,1130.48,149.944271459911
"52","California-Lexington Park, MD","30500","California-Lexington Park, MD","Lexington Park, MD","California-Lexington Park","MD",113510,58875,129332370,49.94,"MD",0.518676768566646,455.222462868345,36,0.262346530227958,0.0992572586090479,0.127017336972544,0.14030299283887,0.161482059134007,0.107065077840439,0.0599328584606899,0.042595885916444,105151,58582,6456,78,14.6,0.1,2.6,764.54,1987.804,57.1032154075553
"53","Canton-Massillon, OH","15940","Canton-Massillon, OH","Canton-Massillon, OH","Canton-Massillon","OH",397520,279245,431099392,166.45,"OH",0.702467800362246,647.750855561402,41.3,0.229025621751537,0.0860957119048914,0.109640425100514,0.122977978448255,0.153527750715836,0.136078155985579,0.0832150575389074,0.0794392985544802,404422,46061,16771,88.5,7,0.1,0.9,979.96,2547.896,156.018926989171
"54","Cape Coral-Fort Myers, FL","15980","Cape Coral-Fort Myers, FL","Cape Coral-Fort Myers, FL","Cape Coral-Fort Myers","FL",770577,530290,855498753,330.31,"FL",0.688172629081844,619.860634677044,45.6,0.195342575563148,0.0767283928669552,0.1064688066663,0.113899869738216,0.132131671067985,0.140915452667781,0.130762791028422,0.103750440401193,618754,52064,27953,84.4,8.6,0.2,1.6,1212,3151.2,244.534463061691
"55","Carbondale-Marion, IL","16060","Carbondale-Marion, IL","Carbondale, IL","Carbondale-Marion","IL",135764,67821,126068034,48.68,"IL",0.499550690904805,537.971425809655,29.1,0.178318775117075,0.248713009399183,0.143694576372513,0.0979939552957587,0.111129562589259,0.103872596233684,0.0591185359859178,0.0571589890066093,60218,41733,5288,84.4,9.5,0.2,2.1,1395.83,3629.158,37.4092282562512
"56","Cedar Rapids, IA","16300","Cedar Rapids, IA","Cedar Rapids, IA","Cedar Rapids","IA",273032,177844,216136838,83.45,"IA",0.651366872747517,822.830581059949,37.5,0.244704194773978,0.0920407846786074,0.132806078933085,0.130231836861286,0.147038070869194,0.117259827866946,0.0702062495153912,0.065712956501512,257940,53143,18464,89.4,4.8,0.2,2,2019.88,5251.688,51.989379414771
"57","Chambersburg-Waynesboro, PA","16540","Chambersburg-Waynesboro, PA","Chambersburg, PA","Chambersburg-Waynesboro","PA",155027,76799,142245868,54.92,"PA",0.495391125416863,539.903204780613,40.1,0.238875001670922,0.0799235386116644,0.115433971848307,0.131401301982382,0.144621636434119,0.124797818444305,0.0864334505206593,0.0785132804876419,149618,47934,5545,92.4,3.7,0.3,0.8,772.69,2008.994,77.1664823289666
"58","Champaign-Urbana, IL","16580","Champaign-Urbana, IL","Champaign-Urbana, IL","Champaign-Urbana","IL",226033,145361,121467169,46.9,"IL",0.643096362035632,1196.71019911561,30.3,0.200236317925232,0.214915628463373,0.144404051903696,0.107800647718109,0.121820165508795,0.10123721921075,0.055853827876028,0.053732141394017,231891,46616,12177,73.7,12.5,0.2,10,1437.91,3738.566,60.4598126661399
"59","Charleston-North Charleston, SC","16700","Charleston-North Charleston, SC","Charleston-North Charleston-Summerville, SC","Charleston-North Charleston","SC",802122,548404,759769589,293.35,"SC",0.683691508274302,721.803041263869,35.4,0.232687889233788,0.110529982380565,0.151092299659799,0.131485223598307,0.14103522833795,0.118268390191497,0.0679017825572105,0.0469992040408843,664607,53119,42004,67.6,25.6,0.3,1.8,3163.11,8224.086,97.5332699585097
"60","Charleston, WV","16620","Charleston, WV","Charleston, WV","Charleston","WV",257074,153199,254369516,98.21,"WV",0.595933466628286,602.269495217344,41.8,0.215693233952492,0.074739388203126,0.12113354629228,0.128807298444874,0.15417504699557,0.145936033442442,0.0865770135794192,0.0729384390897977,304284,45276,12817,91.4,5.1,0.2,0.9,2668.37,6937.762,37.0543123272317
"61","Charlotte-Concord-Gastonia, NC-SC","16740","Charlotte-Concord-Gastonia, NC-SC","Charlotte-Gastonia-Rock Hill, NC-SC","Charlotte-Concord-Gastonia","NC-SC",2636883,1633818,2746241686,1060.33,"NC--SC",0.619602007370065,594.928701406363,35.4,0.259351618110644,0.0893723571390379,0.144661833248201,0.15707225896141,0.143519650883542,0.105085896891876,0.0579412959219312,0.0429950888433583,1758038,53916,174029,66.9,22.8,0.4,3.7,5717.07,14864.382,177.396073378631
"62","Charlottesville, VA","16820","Charlottesville, VA","Charlottesville, VA","Charlottesville","VA",218615,92359,89501576,34.56,"VA",0.422473297806646,1031.92596295735,36.7,0.204208197103578,0.140152511175388,0.136247947251177,0.121180398791421,0.140261660357513,0.121532652970098,0.0745488913916025,0.0618677409592229,201559,69003,13414,79.8,12,0.2,4.5,1658.05,4310.93,50.711795366661
"63","Chattanooga, TN-GA","16860","Chattanooga, TN-GA","Chattanooga, TN-GA","Chattanooga","TN-GA",565194,381112,777338402,300.13,"TN--GA",0.674302982692668,490.278106702877,39.4,0.22318576597626,0.0953340288520344,0.125199046470369,0.131489009605353,0.146937477160542,0.131184167924217,0.0809534538941158,0.0657170501171084,528143,47376,27071,81.5,13.4,0.2,1.7,2139.11,5561.686,101.622781293298
"64","Chicago-Naperville-Elgin, IL-IN-WI","16980","Chicago-Naperville-Elgin, IL-IN-WI","Chicago-Joliet-Naperville, IL-IN-WI","Chicago-Naperville-Elgin","IL-IN-WI",9458539,8608208,6326686332,2442.75,"IL--IN",0.910099117844733,1360.61874230436,35.8,0.251324765976067,0.0939738011574758,0.144238437264992,0.139540994418728,0.145670193914981,0.111111545638697,0.0611975028286865,0.0529427588003727,9461105,63500,679699,65.7,16.6,0.3,6.6,9579.91,24907.766,379.742567037124
"65","Chico, CA","17020","Chico, CA","Chico, CA","Chico","CA",219186,98176,89120274,34.41,"CA",0.447911819185532,1101.61241200852,37.2,0.209854545454545,0.146590909090909,0.121277272727273,0.106040909090909,0.131259090909091,0.131263636363636,0.0781136363636364,0.0756,220000,47860,8168,81.6,1.5,1.2,4.6,1677.22,4360.772,50.263118548734
"66","Cincinnati, OH-KY-IN","17140","Cincinnati, OH-KY-IN","Cincinnati-Middletown, OH-KY-IN","Cincinnati","OH-KY-IN",2221208,1624827,2040237609,787.74,"OH--KY--IN",0.731506009342664,796.391063880246,37.2,0.249455555028728,0.0951064032549805,0.128755660983658,0.133200885758803,0.152687297754948,0.118653090790277,0.0655897164097757,0.0565513900188297,2130151,56033,138034,81.8,12,0.1,2.6,4631.47,12041.822,184.457800488996
"67","Clarksville, TN-KY","17300","Clarksville, TN-KY","Clarksville, TN-KY","Clarksville","TN-KY",307820,158655,283776315,109.57,"TN--KY",0.515414852836073,559.084714310988,30.7,0.275828712643594,0.123227316033276,0.162121416760054,0.128239197806891,0.12216507452117,0.0922909008611092,0.0559082164928509,0.0402191648810545,273949,41881,11027,72.7,19.1,0.6,1.9,2242.26,5829.876,52.8004369218145
